Sheet: Cost ($)
Subtotal,Service Items,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,Total
,DynamoDB - On-demand Read Capacity,0.0027881875000000003,0.004207250000000001,0.0029460625000000003,0.0016656250000000002,0.0017389375000000005,0.0058835,0.000454375,0.0001293125,0.0000014999999999999998,0.0059505,0.0010018750000000002,0.0029353749999999996,0.00032725,0.030029750000000008
,DynamoDB - On-demand Write Capacity,0.002571875,0.003125,0.0034000000000000002,0.002451875,0.000135625,0.0013537500000000001,,,,0.000078125,0.000284375,0.0006743750000000001,0.000026249999999999998,0.014101250000000001
,DynamoDB - Storage,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ElastiCache - Other Direct,93,90,93,22.75833325,,,,,,,,,,298.75833325
,Amazon Elastic File System,5107.698139403001,5187.1055380561,5539.1780167033,5868.3819018602,6280.3273109579,6289.216044531198,6196.905950728099,6409.8841736995,6424.8009635556,6334.270704057501,6317.8088378221,6087.033311809799,791.2961222389999,72833.90701542329
,OpenSearch - Compute,761.8559999999999,737.2799999999999,774.6719999999999,1821.3120000000001,1762.5600000000004,1819.5320000000004,1762.5600000000002,1821.3120000000004,1821.3120000000004,1645.0560000000003,1821.3120000000001,1762.5600000000004,225.216,18536.540000000005
,OpenSearch - Storage,97.6001422016,97.60014219299997,99.4533679876,250.8001394401,420.2334682515999,657.9802351794999,658.8001284770999,658.8001294266002,658.8001285128001,658.8001285368999,658.8001285128001,660.6570692233998,82.5113952512,5660.8366031942005
,OpenSearch - Data Transfer,0.10444031779999999,0.09901508339999998,0.11171728700000001,0.30797269359999996,0.11898211980000001,0.0822187946,0.0776387152,0.0765060771,0.0809662102,0.0770623475,0.08774610570000001,0.08550695209999999,0.0109132542,1.3206859582
,Amazon Kinesis,540.9251163779999,523.4973845581001,540.3221636549999,540.3304440456999,522.9184348725001,538.9268194884999,522.0001553333,539.4001214415001,539.4000944696,487.20006222020015,539.4000668816,522.0000641455001,67.34500703430004,6423.6659345237995
,Kinesis Firehose,58.58683504309999,55.1621340474,34.61919444450001,33.3300269946,32.6047400537,35.716742068799995,33.7410938367,33.20143078179999,32.5786379312,29.966122846699996,33.064998780900005,32.10554600510001,4.163591637599999,448.84109447209994
,Redshift - Serverless,,,,,,,101.65175512500001,124.79998049999999,123.19998075,113.59998224999998,123.999980625,118.3999815,15.9999975,721.6516582499999
,Redshift - Storage,,,,,,,0.05102193600000001,0.06077750400000001,0.06151848,0.059766,0.058256976,0.059129136,0.007319832000000001,0.35778986400000007
,Amazon WorkSpaces,9115.806321214,9298.935513114,8476.669146474,10802.405989467998,10556.372824388001,10236.248322570997,8751.803278055002,9995.207153659996,8960.43999986,8450.890039858,7890.069921825,9503.716151185,3225.1499998199997,115263.71466149199
Indirect Charges (72),,37672.11237295111,36136.64248035167,36891.40636716592,34215.35310337282,41636.05055028245,41706.88674160978,36576.20492769044,37602.40344816653,38360.791606221326,36633.66592365515,39624.28384071833,40241.35144257853,7266.972525345929,464564.12533011026
,EC2 - Savings Plan Negation Credits,,,,,,,,,,0,0,0,0,0
,RDS - Charged Backup Usage,42.77705567820001,31.313725586999997,31.313725586199993,31.313725586199993,31.313725586999997,31.313725586199997,31.313725587,31.313725586199993,31.650432312899994,30.670325709700005,28.547284750800003,28.7340059315,4.2370795931,385.812263082
,RDS - Other,23.6103999984,23.610400056000003,19.849872602999998,11.805200073600002,11.805200064000003,11.805200073600002,11.805200064000005,11.805200073600002,11.805200073600002,11.805200064000001,11.829393622200001,11.805200064000005,1.4280483959999999,174.76971522600002
,Augmented AI,,,,,,,0.44999999999999996,1.0299999999999998,,0.09,,,,1.5699999999999998
,CloudFormation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CodeArtifact,0.000005571400000000001,0.0000079309,0.000004648600000000001,0.000007964200000000002,0.000010530599999999999,0.0000191381,0.000008962199999999999,0.000007479899999999999,2.118e-7,8.47e-7,6.932999999999999e-7,2.118e-7,0,0.00007418979999999999
